whitish,adj. 发白的
scorpion,n. 蝎子
sandy,adj. 含沙的
chip,v. 凿刻；n. 碎片，缺损处
paradigm,n. 范式
farmwork,n. 农活
pave,v. 铺设
glucose,n. 葡萄糖
disguise,v. 掩盖；n. 伪装
Maya,n. 玛雅人
cable,n. 缆绳
substance,n. 物质
pepper,n. 胡椒
violate,v. 违反
adsorb,v. 吸附
repetitive,adj. 重复的
slave,n. 奴隶
elect,v. 选举
render,v. 使成为
mummified,adj. 木乃伊化的
ceramic,adj. 陶瓷的
philosopher,n. 哲学家
stratigraphy,n. 地层学
feasible,adj. 可行的
census,n. 人口普查
astronomy,n. 天文学
media,n. 媒介（单数：medium），材料（单数：medium）
connection,n. 联系
disturbing,adj. 令人不安的
favorably,adv. 合适地，正面地
shipment,n. 运输
Venusian,adj. 金星的
flora,n. [尤指某地区或某时期的] 植物群
playfulness,n. 玩笑
globe,n. 地球
desiccate,v. 使…干燥
judgment,n. 判断力
balding,adj. 变秃的
flee,v. 逃离
disbelief,n. 不信
cord,n. 软线
perpetual,adj. 无休止的
propriety,n. 得体
hurdle,n. 障碍
tract,n. 大片
scruffy,adi.破旧的
function,n. 功能；v. 运转
groom,v. 刷洗，为…梳毛
submarine,adj. 海底的
ecstatic,adj. 狂喜的
membership,n. 会员资格
equalize,v. 使...相等
tablet,n. 刻写板
supervise,v. 监督
destine,v. 指定
muggy,adj. 闷热潮湿的
smelter,n. 熔炉
inquiry,n. 询问，调查
politician,n. 政治家
translucent,adj. 半透明的
siltation,n. 淤积
haul,v. 拖
editor,n. 编者
deduce,v. 推断
stockholder,n. 股东
lightning,n. 闪电
indication,n. 指示，迹象
sacrifice,v. 牺牲 ；n. 祭品
shortly,adv. 不久
mantle,n. 地幔
protected,adj. 受保护的
accountable,adj. 负有责任的
separation,n. 分开
plus,prep. 加
accusation,n. 指控
demotic,n. (古埃及通过简化的)通俗文字
prevalent,adj. 流行的，普遍的
laborer,n. 体力劳动者
supplementary,v. 补充
gentleman,n. 有教养的人
pigment,n. 色素，颜料
reservation,n. 保留地，预约，预订
clothing,n. 衣服
tunnel,n. 隧道
therapy,n. 治疗
dictator,n. 独裁者
skull,n. 颅骨
variability,n. 可变性
disloyalty,n. 不忠
specialty,n. 专业
skip,v. 跳
slight,adj. 细微的
doctrine,n. 学说
waterfall,n. 瀑布
leafy,adj. 叶茂的
reflect,v. 反映，反省，反射
roll,v. 滚动；n. 卷
creator,n. 创造者
adoption,n. 采用
troll,v. 钓鱼；n. 使转动
termite,n. 白蚁
excitement,n. 激动，令人激动的事
specialist,n. 专家；adj. 专业的
dike,n. 堤
canning,n. 罐头食品
fissure,n. 裂缝
ebb,v. 退落
circumscribe,v. 限制
yummy,adj. 美味的
opt,v. 选择
innermost,adj. 最里面的
boulder,n. 巨砾
hydroponic,adj. 溶液栽培的
division,n. 分开，部分
socioeconomic,adj. 社会经济的
unembellished,adj. 未修饰的
preservative,n .防腐剂
psychologist,n. 心理学家
nesting,n. 筑巢
jellyfish,n. 水母
perennial,n. 多年生植物；adj. 多年生的
looseness,n. 松散
essence,n. 本质
ambassador,n. 大使
representative,n. 代表；adj. 典型的
curve,v. 曲线运动；n. 曲线
unconsciously,adv. 失去知觉地，神志不清地
default,n. 默认
ozone,n. 臭氧
vegetated,adj. 被植被覆盖的
marsh,n. 沼泽
palpable,adj. 明显的
trader,n. 商人
gradualist,n. 渐进主义者
trench,n. 沟
gas,n. 气体，燃气
acreage,n. 英亩数
locally,adv. 在当地
shaft,n. 杆，轴
beset,v. 困扰
problematic,adj. 造成困难的
arson,n. 纵火
landlord,n. 房东
shuffle,v. 挪动
habitual,adj. 习惯性的
cashier,n. 出纳员
frenzy,n. 狂热
culinary,adj. 烹饪的
lily,n. 百合
terrific,adj. 了不起的
mobilize,v. 调集
resent,v. 对…感到愤恨
concerning,prep. 关于
archaeologist,n. 考古学家
thaw,v. 使融化
region,n. 地带，领域
motivator,n. 动因
disappointment,n. 失望
magical,adj. 有魔力的
resort,v. 诉诸；n. 手段
akin,adj. 类似的
saline,adj. 含盐的
statuary,n. 雕塑
partway,adv. 部分地
assurance,n. 保证
interstellar,adj. 星际的
nourishment,n. 营养物
certification,n. 鉴定
frustrating,adj. 令人心烦的
vibrate,v. 震动
continued,adj. 连续不断的
veneration,n. 敬重
undisturbed,adj. 未受打扰的
correspond,v. 相符
ragged,adj. 衣衫褴褛的
presage,v. 预示
coincidentally,adv. 巧合地
grazer,n. 吃草的动物
propensity,n. 习性
aggressive,adj. 好斗的
bothersome,adj. 讨厌的
bulldozer,n. 推土机
mite,n. 螨
compaction,n. 压实
inhospitable,adj. 不适合居住的，不友好的
vote,v. 投票
posture,n .姿势
erosive,adj. 侵蚀的
leftover,adj. 剩余的
swift,adj. 迅速的
somewhat,adv. 有点
myth,n. 神话，虚构
implant,v. 移植
motif,n. 主题
tactic,n. 策略
substantial,adj. 可观的，结实的
resistant,adj. 抵抗…的
fort,n. 堡垒
appliance,n. 器具
fuse,v. 使…混合
Gothic,adj. 哥特人的
guilty,adj. 有罪的
setback,n. 倒退
corporate,n. 企业集团
eradicate,v. 根除
envious,adj. 羡慕的
generate,v. 产生
agreeable,adj. 可接受的
contest,n. 竞争；v. 辩驳
partition,v. 划分
blooded,adj. [作复合词用]…血的
unrest,n. 动乱
antioxidant,n. 抗氧化物质
utility,n. 实用
shiver,v. 颤抖
chief,adj. 主要的；n. 领袖
cope,v. 应付
parcel,n. 包裹
brass,n. 黄铜，黄铜管乐器
playhouse,n. 剧院
bath,n. 洗澡
porcelain,n. 瓷器
slot,n. 狭缝
flake,n. 小薄片 ；v. 脱落
nonorganic,adj. 非有机的
fence,v. 把…用栅栏围起来；n. 栅栏
gross,adj. 总的
passionate,adj. 热情的
capitalist,n. 资本主义者
sculptor,n. 雕刻家
disgusted,adj. 厌恶的
virtuosity,n. 精湛演技
wisely,adv. 明智地
pastoralist,n. 牧民
monsoon,n. 季风
entire,adj. 全部的
aquarium,n. 水族池
dwelling,n. 住处
unchanging,adj. 不变的
thrive,v. 茁壮成长
vowel,n. 元音
allergy,n. 过敏
pollination,n. 授粉
consciously,adv. 有意识地，故意地
consist,v. 由某事物组成
Pacific,n. 太平洋
shelter,n. 遮蔽物；v. 遮蔽
aristocracy,n. 贵族，贵族阶层
mount,n. 山
enthusiasm,n. 热情
reestablish,v. 重建，复兴
secondary,adj. 次要的，从属的
appointment,n. 约会
speckle,v. 点缀
possibility,n. 可能性
emit,v. 散发，排出
equilibrium,n. 平衡
close-knit,adj. 联系紧密的
specific,adj. 特定的，具体的
domesticable,adj. 可驯化的
precede,v. 先于
waster,n. 废物
semicircle,n. 半圆
divine,adj. 神的
commodity,n. 商品
indifferent,adj. 漠不关心的
slush,n. 融雪
navigator,n. 领航员
rapport,n. 融洽关系
dust,n. 灰尘
galaxy,n. 星系
carve,v. 雕刻
dome,n. 穹顶，半球形物
inventory,n. 库存，存货清单
herbivorous,adj. 食草的
approximately,adv. 大约
anthropologist,n. 人类学家
repudiate,v. 否认
absence,n. 缺乏，缺席
entitle,v. 使享有权利，给...题名
logical,"adj. 合理的,逻辑的"
permission,n. 允许
crucial,adj. 至关重要的
irreversible,adj. 不可逆转的
sufficiently,adv. 足够地
recharge,v. 补给
outlook,n. 观点，景色
cohesive,adj. 团结的
documentation,n. 记录
deviation,n. 偏离
commemorate,v. 作为对...的纪念
questionnaire,n. 调查问卷
heartbeat,n. 心跳
backyard,n. 后院
incline,v. 倾向
intersection,n. 交点
interactive,adj. 相互作用的
gravitationally,adv. 引力地
rejection,n. 拒绝，排斥
livable,adj. 可忍受的
trick,n. 把戏
hairy,adj. 多毛的
artist,n. 艺术家
mediate,v. 中介，调解
urgent,adj. 紧急的
cooperate,v. 合作
supercomputer,n. 超级计算机
architecture,n. 建筑，建筑风格
canal,n. 运河
hood,n. 风帽
immerse,v. 浸泡
nursing,n. 母乳喂养
handicraft,n. 手工艺品
grindstone,n. 磨石
cutter,n. 切割者
backdrop,n. 背景幕
inferior,adj. 较差的
sorghum,n. 高粱
convention,n. 习俗，大会
psychological,adj. 心理的，心理学的
accretion,n. 渐增
deposit,v. 使…沉积，放下；n. 沉积层，存款
streetscape,n. 街景
purely,adv. 仅仅，完全地
encapsulate,v. 包含
vertebral,adj. 脊椎的
ideal,adj. 理想的；n. 典范
tropics,n. 热带地区
detoxify,v. 除去…的毒素
recommendation,n. 推荐
